,id,shiqu,总价,均价,面积,小区,样本数量
685,5440.083333,2,175.2333333,13271.375,132.935,欣园社区,24
197,4655.08,2,87.2192,13227.4,65.9328,保定热电厂二生活区,25
833,1238.666667,1,76.83333333,13214.5,58.58333333,省职工医学院宿舍北院,6
205,4799.833333,2,79.33333333,13201.66667,60.625,保定纺织机械厂生活区,12
160,2053.666667,1,100.0888889,13192.11111,76.35333333,传染病医院生活区,9
363,8053.333333,2.666666667,114,13181.33333,86.7575,吉翔园小区,12
370,8461.666667,3,254.6666667,13133.33333,199.1666667,名仕佳苑,6
422,4993.428571,2,70.85714286,13108,54,地质十三队宿舍,7
799,5459.916667,2,74.31666667,13087.08333,57.16666667,电化厂宿舍,12
892,9023.368421,3.01754386,182.9087719,13068.63158,140.8722807,秀兰锦观城,57
345,1903.636364,1,79.8,13056.54545,61.50636364,卫校宿舍,11
922,1474.083333,1,68.20833333,13043.91667,52.33333333,红阳路77号小区,12
608,4648.25,2,140.90625,13029.9375,108.375,星光佳园,16
772,5856.733333,2,68.26666667,13007.06667,52.46066667,爱民社区,15
920,2557.857143,1,83.18571429,12997.42857,64,红联小区,7
526,6050,2,136.675,12970.875,109.39,市直机关宿舍五号区,8
1044,8746.857143,3,90.74761905,12956.09524,70.83761905,金昌小区东区,21
392,1603.625,1,65.6,12952.3125,51.1875,四一七大院,16
873,5703.888889,2,76.4,12946.44444,59.38888889,秀兰新畿辅,9
401,6258.4,2.2,72.36,12919.5,55.982,四里营小区,10
929,8413.95122,3.097560976,146.5804878,12915.7561,114.6795122,维多利亚夏郡,41
335,9267.827586,3.034482759,147.3724138,12889,114.85,博仕园,29
1046,8431.95,3,87.605,12872.075,68.8775,金昌西小区,40
644,6686.061224,2.489795918,95.70816327,12828.73469,73.87244898,朝阳龙座,49
90,9015.736842,3,84.13298246,12818.75439,65.42824561,中华小区五区,57
456,2244.684211,1,103.3947368,12811.47368,81.38789474,天马小区,19
921,1266.117647,1,100.4509804,12800.64706,78.22529412,红阳小区,51
657,2346.446809,1.106382979,130.9276596,12784.97872,103.3874468,未来花郡,47
988,1865.888889,1,136.0814815,12778.07407,107.9622222,裕丰三期,27
578,8512.4375,3,123.8625,12768.875,96.8125,教委宿舍(红阳大街),16
321,8596.166667,3,66.16666667,12722.66667,52.5,华电宿舍,6
235,5915.05,2,118.75,12713.75,93.075,公交园小区,20
533,7888.176471,3,77.72647059,12713.17647,61.19411765,师专宿舍,34
1136,11178.61577,3.997977755,100.1796158,12709.53691,76.82616785,香溪名门,989
1050,6881.846154,2.538461538,141.7961538,12708.07692,112.225,金迪花园,26
993,1725.766667,1,91.60994444,12704.67778,72.52305556,裕华园,180
1009,8504.46875,3,125.99375,12704.3125,100.6225,西苑小区,32
771,4960.272727,2,80.65454545,12695.09091,63.53545455,燃气公司宿舍,11
283,5835.555556,2.111111111,72.15555556,12693.33333,57.44611111,化纤东生活区,18
1117,9095.869565,3,106.3608696,12689,84.18695652,青竹园,23
216,11086.82609,3.826086957,137.2521739,12686.04348,107.626087,假日丽城,23
234,1400.583333,1,69.65,12683.33333,55.11333333,八中宿舍,12
553,5445.421053,2.210526316,112.7894737,12683,89.17368421,建安三公司宿舍,19
877,9013.857143,3,110.2666667,12678.57143,86.16714286,秀兰森活里,21
308,5625.367041,2.224719101,131.5456554,12666.4794,104.1107865,华中假日丽城,267
602,4789.35,2.1,132.41,12626.1,106.75,方清园,20
350,8203.2,3,80.575,12615.05,62.5,双胜街小区,20
788,8789.833333,3,60.66666667,12604.66667,47.93833333,瑞祥大街163号院,6
552,1377.764706,1,128.1176471,12598.29412,101.7470588,建园小区,17
159,7333,3,92.14285714,12585.57143,73.06285714,传染病医院宿舍,7
871,1530.061947,1,125.389823,12579.22124,99.93849558,秀兰康泽园南区,113
1075,3958.071429,2,83,12575,66,铁路电气化宿舍,14
437,8803,3,85.2,12565.8,67.9,大学城小区,10
1033,5656.2,2.2,112.33,12555.6,89,邮电小区(向阳北大街),10
1007,8519.25,3,159.4375,12544.5625,136.63125,西苑北小区,16
