,id,title,shiqu,area,price,avg,shitingwei,xiaoqu,cenggao,weizhi,jingjiren,总价,均价,面积
3047,3047,玉兰大街东方明珠商务中心一室精装修全款包更,1,58.78,60,10207,1室0厅1卫,东方明珠,中层(共13层),南市玉兰大街499号,经纪人－吴宇峰吴宇峰1年58同城认证商家,60.0,10207.0,58.78
3048,3048,南市区一中附近正规新民居南北通透均价6500,1,95.0,74,7789,2室2厅1卫,五里华都,低层(共17层),南市长城南大街,独立经纪人－甄敏娜甄敏娜1年独立经纪人58同城认证商家,74.0,7789.0,95.0
3049,3049,军校广场红阳路2室91平米老本超低首付,1,91.0,128,14065,2室2厅1卫,红阳小区,高层(共6层),南市红阳大街525号,独立经纪人－郭红郭红1年独立经纪人58同城认证商家,128.0,14065.0,91.0
3050,3050,市一中旁锦绣城二期商业门脸户型方正五证齐全可,1,187.0,207,11069,1室1厅1卫,锦绣城二期门脸,共1层,南市,独立经纪人－田静田静1年独立经纪人58同城认证商家,207.0,11069.0,187.0
3051,3051,省医院商圈房管局宿舍一楼一楼生活便利南,1,70.0,67.8,9685,2室1厅1卫,普庆路136号院,共4层,南市普庆路,独立经纪人－和海峰和海峰1年独立经纪人58同城认证商家,67.8,9685.0,70.0
3052,3052,新保师附小未来微墅一期2室1厅1卫95.55,1,95.5,95,9947,2室2厅1卫,未来微墅一期loft当200平用,低层(共28层),南市,经纪人－曹芹曹芹1年58同城认证商家,95.0,9947.0,95.5
3053,3053,长城南大街大三居包更名南北通透秀兰物业随时看,1,129.0,103,7984,3室2厅2卫,青青花园,低层(共6层),南市长城南大街,独立经纪人－高旭阳高旭阳1年独立经纪人58同城认证商家,103.0,7984.0,129.0
3054,3054,地中海联排别墅，单价仅需12000，首付150万,1,285,350,12280,4室2厅3卫,地中海(别墅),,南市天威东路1519号,独立经纪人－臧鹏威臧鹏威1年独立经纪人58同城认证商家,350.0,12280.0,285.0
3055,3055,仙庭湖畔紧邻高铁！纯正新民居！环境优美！,1,92.0,38,4130,2室2厅1卫,仙庭湖畔,中层(共7层),南市,独立经纪人－高磊高磊2年独立经纪人58同城认证商家,38.0,4130.0,92.0
3056,3056,农大旁边秀兰城市美居南北通透可贷款房主管,1,137.0,147,10729,3室2厅2卫,秀兰城市美地,中层(共31层),南市南二环路,经纪人－贺领宾贺领宾1年58同城认证商家,147.0,10729.0,137.0
3057,3057,省医院附近花园洋房高端社区紫御美墅2室精品住,1,101.64,160,15741,2室2厅2卫,紫御美墅,高层(共6层),南市长城南大街,独立经纪人－李会李会1年独立经纪人58同城认证商家,160.0,15741.0,101.64
3058,3058,急售首付100万住联排别墅地中海庭院毛坯大院车库,1,285.0,388,13614,3室2厅4卫,地中海(别墅),共4层,南市天威东路1519号,独立经纪人－张继宏张继宏1年独立经纪人58同城认证商家,388.0,13614.0,285.0
3059,3059,急售天马小区精装修婚房二楼二楼大社区有钥匙裕丰三,1,57.0,68.88,12084,1室1厅1卫,天马小区,低层(共6层),南市利民街379号,独立经纪人－李富裕李富裕1年独立经纪人58同城认证商家,68.88,12084.0,57.0
3060,3060,阳光庄园91平豪华装修带全新家电邻维多利亚上院,1,91.0,62,6813,2室2厅1卫,阳光庄园,高层(共6层),南市南二环路,独立经纪人－史松史松2年独立经纪人58同城认证商家,62.0,6813.0,91.0
3061,3061,军校广场省医院旁南北通透4楼精装两室首付,1,57.0,80,14035,2室1厅1卫,红阳小区,中层(共6层),南市红阳大街525号,独立经纪人－戎旭戎旭1年独立经纪人58同城认证商家,80.0,14035.0,57.0
3062,3062,鑫丰近水庭院公寓紧邻一中均价8500五证齐全现房,1,43.0,37,8604,1室1厅1卫,鑫丰近水庭院,中层(共14层),南市天威东路,独立经纪人－史松史松2年独立经纪人58同城认证商家,37.0,8604.0,43.0
